종목,현재가,고가,저가,변동,변동 %,거래량,시간
어드밴스 오토파츠,211.21,215.73,208.80,+2.31,+1.11%,593.14K,14/05
어슈어런트,181.62,182.00,179.67,+2.27,+1.27%,309.60K,14/05
어플라이드 머티어리얼즈,111.86,112.63,108.03,+5.10,+4.78%,8.15M,14/05
언더아머 A,11.04,11.29,10.70,+0.40,+3.76%,9.30M,14/05
언더아머 C,10.14,10.31,9.78,+0.45,+4.64%,5.67M,14/05
얼라이언트 에너지,58.44,58.58,57.17,+0.42,+0.72%,1.62M,14/05
얼라인테크놀로지,275.52,276.84,264.42,+15.99,+6.16%,1.04M,14/05
얼리전,112.78,112.99,111.05,+1.60,+1.44%,627.26K,14/05
에드워즈라이프사이언시스,97.55,98.10,95.00,+4.11,+4.40%,2.57M,14/05
에디슨 인터내셔널,65.46,65.85,64.76,+0.60,+0.93%,2.98M,14/05
에머슨 일렉트릭,83.68,84.35,82.52,+0.93,+1.12%,3.58M,14/05
에버레스트 리 그룹,280.02,280.28,275.49,+6.03,+2.20%,278.35K,14/05
에버소스 에너지,89.34,89.67,87.92,+0.42,+0.47%,1.51M,14/05
에버지,67.61,67.79,66.50,+0.81,+1.21%,877.83K,14/05
에섹스 프로퍼티 트러스트,296.28,296.79,289.70,+4.06,+1.39%,299.59K,14/05
에스티 로더,240.39,241.51,234.16,+9.39,+4.06%,1.78M,14/05
에이버리 데니슨,174.29,177.38,173.36,+1.84,+1.07%,463.51K,14/05
에이온,280.60,284.62,275.34,+4.86,+1.76%,815.54K,14/05
에코랩,161.99,163.63,160.32,+2.26,+1.41%,815.92K,14/05
에쿼티 레지덴셜,74.96,75.14,73.55,+0.84,+1.13%,1.55M,14/05
에퀴닉스,659.80,662.80,635.16,+29.92,+4.75%,690.83K,14/05
에퀴팩스,198.19,198.71,194.40,+5.53,+2.87%,897.22K,14/05
엑셀 에너지,74.49,74.70,73.08,+0.94,+1.28%,2.67M,14/05
엑셀론,46.73,46.77,45.85,+0.88,+1.92%,5.59M,14/05
엑스트라 스페이스 스토리지,178.96,179.06,174.54,+4.24,+2.43%,567.89K,14/05
엑슨모빌,88.86,88.94,86.35,+2.56,+2.97%,25.60M,14/05
엔비디아,177.06,179.28,165.93,+15.31,+9.47%,65.96M,14/05
엔터지,117.17,117.32,115.03,+1.00,+0.86%,1.26M,14/05
엣시,92.08,94.58,88.54,+4.22,+4.80%,5.78M,14/05
오라클,71.17,71.98,70.53,+0.44,+0.62%,6.69M,14/05
오릴리 오토모티브,635.62,643.13,619.01,+13.28,+2.13%,594.52K,14/05
오토데스크,197.07,197.50,186.56,+12.02,+6.50%,1.72M,14/05
오토매틱 데이터 프로세싱,208.79,209.98,206.87,+1.31,+0.63%,2.21M,14/05
오토존,"2,001.11","2,022.60","1,960.07",+46.35,+2.37%,186.43K,14/05
오티스 월드와이드,75.11,75.49,73.49,+2.11,+2.89%,2.60M,14/05
옥시덴탈,64.08,64.47,60.75,+4.86,+8.21%,34.84M,14/05
올드 도미니언 프레이트 라인,273.12,278.17,270.48,+3.47,+1.29%,831.70K,14/05
올스테이트,128.19,128.90,127.10,+0.64,+0.50%,1.38M,14/05
